"","name","longitude","latitude","state","locality","year","month","identifier"
"1","Castanozoster thoracicus","-45.247181","-22.567078","Minas Gerais","Unnamed Road, Minas Gerais, BR (-22,567, -45,247)","2018","1","OBS568399815"
"2","Castanozoster thoracicus","-44.756815","-22.373522","Minas Gerais","PN do Itatiaia--Agulhas Negras Road (MG and RJ; 1700-2400m)","2018","1","OBS564136892"
"3","Castanozoster thoracicus","-49.856601","-27.924502","Santa Catarina","Urupema--Morro das Antenas","2018","1","OBS571069462"
"4","Castanozoster thoracicus","-45.263726","-22.534092","Minas Gerais","Delfim Moreira -- MG-350 - -22,5341x-45,2637","2018","2","OBS579430645"
"5","Castanozoster thoracicus","-50.174809","-29.480994","Rio Grande do Sul","CPCN Pró Mata PUCRS","2018","2","OBS579889028"
"6","Castanozoster thoracicus","-44.760225","-22.377042","Rio de Janeiro","Parque Nacional do Itatiaia (parte alta), Itamonte, Minas Gerais.","2018","3","OBS594030161"
"7","Castanozoster thoracicus","-44.796072","-22.352963","Minas Gerais","Itamonte--RPPN Alto Montana","2018","3","OBS594026816"
"8","Castanozoster thoracicus","-44.592969","-22.664314","São Paulo","Serra da Bocaina","2018","3","OBS584232861"
"9","Castanozoster thoracicus","-45.980847","-22.907252","São Paulo","Estrada dos Ferreiras, São Paulo, Sentido Trilha Do MiranteBR (-22,907, -45,981)","2018","3","OBS595859438"
"10","Castanozoster thoracicus","-44.758943","-22.374128","Minas Gerais","Minas Gerais, BR (-22,374, -44,759)","2018","4","OBS609334017"
"11","Castanozoster thoracicus","-45.229579","-22.568917","Minas Gerais","Piquete -- Trilha Do Pico Do Ataque.","2018","4","OBS604164249"
"12","Castanozoster thoracicus","-45.478431","-22.703137","São Paulo","Estrada da Romaria--Até pousada Sta. Maria da Serra","2018","4","OBS604771106"
"13","Castanozoster thoracicus","-50.336491","-29.496353","Rio Grande do Sul","Pró-Mata","2018","4","OBS613295645"
"14","Castanozoster thoracicus","-42.58484","-22.351568","Rio de Janeiro","Pico da Caledônia","2018","4","OBS601147850"
"15","Castanozoster thoracicus","-44.734746","-22.362522","Minas Gerais","PN Itatiaia  (parte alta), Itamonte, Minas Gerais, BR (-22,363, -44,735)","2018","4","OBS608309016"
"16","Castanozoster thoracicus","-44.753298","-22.374122","Minas Gerais","(-22,3741,-44,7533)","2018","4","OBS606999792"
"17","Castanozoster thoracicus","-45.50286","-22.691557","São Paulo","Campos do Jordão--Estrada do Borboletário","2018","5","OBS623302258"
"18","Castanozoster thoracicus","-45.293951","-22.506995","Minas Gerais","BR-Minas Gerais-Delfim-Estrada Pico Dos Marins Moreira - -22,507x-45,294 - 26 de mar de 2017 04:39","2018","5","OBS612120463"
"19","Castanozoster thoracicus","-45.604715","-22.715195","São Paulo","Campos do Jordão - SP","2018","5","OBS626862237"
"20","Castanozoster thoracicus","-49.934151","-27.951291","Santa Catarina","Urupema -- Eco-Pousada Rio dos Touros","2018","5","OBS610974457"
"21","Castanozoster thoracicus","-45.588286","-22.735976","São Paulo","Campos do Jordão - SP","2018","5","OBS625207615"
"22","Castanozoster thoracicus","-44.808996","-23.155437","Rio de Janeiro","Unnamed Road, Rio de Janeiro, BR (-23,155, -44,809)","2018","5","OBS624032297"
"23","Castanozoster thoracicus","-45.522666","-22.766566","São Paulo","Pindamonhangaba--Pico do Itapeva","2018","5","OBS622399643"
"24","Castanozoster thoracicus","-45.588995","-22.705318","São Paulo","Campos do Jordão - SP","2018","5","OBS623853874"
"25","Castanozoster thoracicus","-42.584816","-22.342365","Rio de Janeiro","Estrada ao Pico da Caledônia","2018","6","OBS638399020"
"26","Castanozoster thoracicus","-46.03051","-22.875414","Minas Gerais","Estalagem Spiler","2018","6","OBS635458825"
"27","Castanozoster thoracicus","-44.746156","-22.36607","Minas Gerais","PN do Itatiaia--Agulhas Negras Road (MG; 1700-2200m)","2018","6","OBS636438572"
"28","Castanozoster thoracicus","-44.724612","-22.36484","Rio de Janeiro","PN do Itatiaia--Agulhas Negras Road (RJ; 2200-2400m)","2018","7","OBS640777089"
"29","Castanozoster thoracicus","-44.698203","-22.384534","Rio de Janeiro","PN do Itatiaia--Morro do Couto","2018","7","OBS643293715"
"30","Castanozoster thoracicus","-44.73562","-22.356121","Minas Gerais","PN Itatiaia-Brejo da Lapa","2018","7","OBS643560070"
"31","Castanozoster thoracicus","-44.734667","-22.365225","Minas Gerais","Agulhas Begras Road Bridge, BR","2018","7","OBS643538340"
"32","Castanozoster thoracicus","-42.558074","-22.336804","Rio de Janeiro","Estrada para o Pico Caledonia,  Nova Friburgo","2018","7","OBS644305644"
"33","Castanozoster thoracicus","-45.397195","-22.629471","Minas Gerais","Estrada Divisa Charco/Parque ESTADUAL DE CAMPOS DO JORDÃO--MG/SP","2018","7","OBS646019730"
"34","Castanozoster thoracicus","-44.744","-22.369","Minas Gerais","Estrada das Agulhas Negras - ParNa Itatiaia","2018","7","OBS636665379"
